,N,Role,Programming language,Experience ,Experience on current job,Salary/month,Изменение.зарплаты.за.12.месяцев,City,Company size,Company type,Gender,Age,Education,Still student,English ,Date,User.Agent,exp,current_job_exp,salary,avg
6497,6498,Senior Software Engineer,Python,6,0.5,3300,300,Berlin,up to 10 employees,start up,male,30,Higher education,False,B2,23/06/2017 00:03:37,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",6.0,0.5,3300,3387.0967741935483
6533,6534,Junior Software Engineer,Python,1.5,0.5,400,200,Berlin,up to 50 employees,Other,male,30,Higher education,False,A1,23/06/2017 11:17:38,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Ubuntu Chromium/58.0.3029.110 Chrome/58.0.3029.110 Safari/537.36",1.5,0.5,400,560.8412698412699
6549,6550,Senior Software Engineer,Python,10+ ,0.25,2500,0,Berlin,up to 10 employees,product,male,45,Higher education,False,A1,23/06/2017 12:31:29,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",10.0,0.25,2500,3387.0967741935483
6619,6620,Software Engineer,Python,2,1.5,1950,850,Berlin,up to 10 employees,product,male,23,Higher education,False,С1,23/06/2017 22:30:19,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.86 Safari/537.36",2.0,1.5,1950,1799.07
6714,6715,Senior Software Engineer,Python,6,1,3300,800,Berlin,up to 10 employees,start up,male,26,Higher education,False,B1,25/06/2017 14:57:16,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.96 Safari/537.36",6.0,1.0,3300,3387.0967741935483
6729,6730,Senior Software Engineer,Python,6,4,3000,150,New York ,more then 1000 employees,Outsourcing,male,29,Higher education,False,B1,25/06/2017 18:42:40,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/603.2.4 (KHTML, like Gecko) Version/10.1.1 Safari/603.2.4",6.0,4.0,3000,3387.0967741935483
6750,6751,Software Engineer,Python,1.5,1,1272,768,Other,up to 50 employees,Outsourcing,male,20,Unfinished Higher education,True,B1,26/06/2017 01:26:47,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36",1.5,1.0,1272,1799.07
6789,6790,Senior Software Engineer,Python,7,loss then 3 month,5000,0,Berlin,up to 200 employees,start up,male,28,Higher education,False,С1,26/06/2017 11:14:07,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/603.2.4 (KHTML, like Gecko) Version/10.1.1 Safari/603.2.4",7.0,0.0,5000,3387.0967741935483
6865,6866,Software Engineer,Python,3,loss then 3 month,1600,400,New York ,up to 50 employees,Outstaffing,male,23,Higher education,False,С1,26/06/2017 11:41:55,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:47.0) Gecko/20100101 Firefox/47.0,3.0,0.0,1600,1799.07
6910,6911,Technical Lead,Python,10+ ,10+ ,2500,200,Milan,up to 50 employees,product,male,30,Higher education,False,A1,26/06/2017 12:16:50,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:54.0) Gecko/20100101 Firefox/54.0,10.0,10.0,2500,3165.909090909091
6948,6949,Software Engineer,Python,1,0.5,1200,600,Berlin,more then 1000 employees,Outsourcing,male,25,Higher education,False,B1,26/06/2017 13:27:29,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.109 Safari/537.36",1.0,0.5,1200,1799.07
7049,7050,Junior Software Engineer,Python,1,1,900,300,Berlin,up to 50 employees,start up,male,23,Unfinished Higher education,True,B1,26/06/2017 19:53:03,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Ubuntu Chromium/58.0.3029.110 Chrome/58.0.3029.110 Safari/537.36",1.0,1.0,900,560.8412698412699
7050,7051,Software Engineer,Python,4,1,1400,500,Rome,up to 1000 employees,Outstaffing,male,34,Unfinished Higher education,False,B1,26/06/2017 20:07:02,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.81 Safari/537.36",4.0,1.0,1400,1799.07
7084,7085,Software Engineer,Python,2,loss then 3 month,2000,1400,Berlin,up to 10 employees,start up,male,21,Higher education,True,B1,26/06/2017 23:36:13,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",2.0,0.0,2000,1799.07
7098,7099,Senior Software Engineer,Python,5,4,2600,100,London,up to 200 employees,Outsourcing,male,31,Higher education,False,B1,27/06/2017 01:20:34,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/603.2.4 (KHTML, like Gecko) Version/10.1.1 Safari/603.2.4",5.0,4.0,2600,3387.0967741935483
7140,7141,Junior Software Engineer,Python,loss then 3 month,loss then 3 month,100,0,New York ,up to 50 employees,Outsourcing,female,20,Higher education,True,A1,27/06/2017 12:07:48,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",0.0,0.0,100,560.8412698412699
7159,7160,Junior Software Engineer,Python,1.5,loss then 3 month,800,500,Berlin,up to 10 employees,start up,male,22,Unfinished Higher education,False,A1,27/06/2017 13:51:34,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",1.5,0.0,800,560.8412698412699
7208,7209,Software Engineer,Python,2,2,950,345,Łódź,up to 200 employees,Outsourcing,male,22,Unfinished Higher education,False,B2,27/06/2017 20:17:21,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",2.0,2.0,950,1799.07
7399,7400,Junior Software Engineer,Python,1,1,1000,400,Berlin,up to 50 employees,product,male,24,Unfinished Higher education,False,A1,29/06/2017 16:33:56,"Mozilla/5.0 (Linux; Android 6.0.1; SM-J700H Build/MMB29K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.83 Mobile Safari/537.36",1.0,1.0,1000,560.8412698412699
7404,7405,Software Engineer,Python,2,1,1100,400,Berlin,more then 1000 employees,Outsourcing,male,26,Higher education,False,B1,29/06/2017 16:53:01,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",2.0,1.0,1100,1799.07
7457,7458,Junior Software Engineer,Python,loss then 3 month,loss then 3 month,250,50,Berlin,up to 10 employees,start up,male,23,Higher education,False,B2,30/06/2017 13:10:02,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:53.0) Gecko/20100101 Firefox/53.0,0.0,0.0,250,560.8412698412699
7473,7474,Junior Software Engineer,Python,0.5,0.5,400,100,Łódź,up to 50 employees,Outsourcing,female,21,Unfinished Higher education,True,B2,30/06/2017 15:15:06,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:54.0) Gecko/20100101 Firefox/54.0,0.5,0.5,400,560.8412698412699
7783,7784,Senior Software Engineer,Python,5,loss then 3 month,3200,700,Berlin,up to 200 employees,Outstaffing,male,24,Unfinished Higher education,False,B2,04/07/2017 14:36:07,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.115 Safari/537.36",5.0,0.0,3200,3387.0967741935483
7881,7882,Software Engineer,Python,2,1,750,0,Berlin,more then 1000 employees,Outsourcing,male,21,Higher education,False,A1,05/07/2017 11:57:52,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.115 Safari/537.36",2.0,1.0,750,1799.07
7981,7982,Software Engineer,Python,5,5,2850,0,Berlin,up to 200 employees,product,female,29,Higher education,False,B2,06/07/2017 11:44:17,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Ubuntu Chromium/58.0.3029.110 Chrome/58.0.3029.110 Safari/537.36",5.0,5.0,2850,1799.07
8073,8074,Senior Software Engineer,Python,6,0.25,4300,1000,Berlin,up to 50 employees,start up,male,28,Higher education,False,B1,06/07/2017 12:28:56,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.115 Safari/537.36",6.0,0.25,4300,3387.0967741935483
8117,8118,Senior Software Engineer,Python,10+ ,1.5,4500,0,Berlin,up to 10 employees,product,male,30,Higher education,False,B2,06/07/2017 13:36:29,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.115 Safari/537.36",10.0,1.5,4500,3387.0967741935483
8120,8121,Senior Software Engineer,Python,9,1,4000,0,Berlin,up to 1000 employees,product,male,27,Higher education,False,С1,06/07/2017 13:41:09,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.12; rv:54.0) Gecko/20100101 Firefox/54.0,9.0,1.0,4000,3387.0967741935483
8225,8226,Senior Software Engineer,Python,10+ ,2,5000,500,Berlin,more then 1000 employees,product,male,31,Higher education,False,B2,06/07/2017 18:44:25,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.115 Safari/537.36",10.0,2.0,5000,3387.0967741935483
8228,8229,System Architect,Python,10+ ,2,5000,0,Berlin,up to 10 employees,product,male,31,Higher education,False,B1,06/07/2017 19:15:05,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_4) AppleWebKit/603.1.30 (KHTML, like Gecko) Version/10.0.1 Safari/602.2.14",10.0,2.0,5000,4000.0
8381,8382,Technical Lead,Python,7,1,3000,1000,Remote,up to 10 employees,start up,male,24,Unfinished Higher education,False,B2,07/07/2017 19:51:15,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.115 Safari/537.36",7.0,1.0,3000,3165.909090909091
8398,8399,Software Engineer,Python,1,1,800,500,New York ,up to 50 employees,Outsourcing,male,33,Higher education,False,B1,07/07/2017 22:56:21,"Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.115 Safari/537.36",1.0,1.0,800,1799.07
8445,8446,Technical Lead,Python,7,7,1900,150,Rome,up to 200 employees,product,male,29,Higher education,False,B2,08/07/2017 18:46:55,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.133 Safari/537.36",7.0,7.0,1900,3165.909090909091
8502,8503,Junior Software Engineer,Python,2,1,1250,800,Berlin,more then 1000 employees,Outsourcing,male,21,Higher education,False,B2,09/07/2017 20:48:08,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.90 Safari/537.36",2.0,1.0,1250,560.8412698412699
8523,8524,Junior Software Engineer,Python,0.25,0.25,185,0,Berlin,up to 50 employees,Other,female,19,Unfinished Higher education,True,B1,10/07/2017 10:26:33,"Mozilla/5.0 (Linux; Android 6.0.1; Redmi Note 4 Build/MMB29M) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.125 Mobile Safari/537.36",0.25,0.25,185,560.8412698412699
8546,8547,Software Engineer,Python,5,1,2000,800,Łódź,up to 50 employees,Outsourcing,male,22,Unfinished Higher education,False,B1,10/07/2017 14:11:26,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/603.2.4 (KHTML, like Gecko) Version/10.1.1 Safari/603.2.4",5.0,1.0,2000,1799.07
8625,8626,Software Engineer,Python,4,1,1750,0,Berlin,more then 1000 employees,Outsourcing,male,28,Secondary education,False,B1,11/07/2017 16:15:40,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:54.0) Gecko/20100101 Firefox/54.0,4.0,1.0,1750,1799.07
8635,8636,Senior Software Engineer,Python,10+ ,loss then 3 month,4000,1300,Remote,up to 10 employees,start up,male,33,Higher education,False,B2,11/07/2017 17:51:36,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.86 Safari/537.36",10.0,0.0,4000,3387.0967741935483
8673,8674,Junior Software Engineer,Python,0.5,0.5,350,50,Berlin,up to 50 employees,Outsourcing,male,22,Higher education,False,B1,12/07/2017 9:37:16,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:54.0) Gecko/20100101 Firefox/54.0,0.5,0.5,350,560.8412698412699
8695,8696,Software Engineer,Python,1,0.5,1500,1000,Berlin,up to 10 employees,start up,male,29,Higher education,False,B1,12/07/2017 14:39:21,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.133 Safari/537.36",1.0,0.5,1500,1799.07
